iteracao,endpoint,tempo_resposta
61,logout,0.006954412001505261
62,register,0.008105244000034872
62,login,0.007673143998545129
62,refresh,0.007084033997671213
62,logout,0.005635820001771208
63,register,0.006235973000002559
63,login,0.006666442001005635
63,refresh,0.010603541999444133
63,logout,0.0069470870002987795
64,register,0.005832774000737118
64,login,0.011207641000510193
64,refresh,0.006930686999112368
64,logout,0.007629581003129715
65,register,0.007254889998876024
65,login,0.006966674998693634
65,refresh,0.006196824000653578
65,logout,0.006653077998635126
66,register,0.006097531000705203
66,login,0.005545743002585368
66,refresh,0.007043837998935487
66,logout,0.006471921999036567
67,register,0.0053433479988598265
67,login,0.005942027000855887
67,refresh,0.0061992449991521426
67,logout,0.006342111999401823
68,register,0.006046856000466505
68,login,0.005692768001608783
68,refresh,0.005897527000342961
68,logout,0.00645124399670749
69,register,0.006357463997119339
69,login,0.006269111003348371
69,refresh,0.0062271969982248265
69,logout,0.006837570999778109
70,register,0.006538868001371156
70,login,0.007620129999850178
70,refresh,0.007048638999549439
70,logout,0.00657774600040284
71,register,0.006752731998858508
71,login,0.006488907998573268
71,refresh,0.00776027800020529
71,logout,0.007967532001202926
72,register,0.008868109998729778
72,login,0.007530937000410631
72,refresh,0.007203424996987451
72,logout,0.006574209000973497
73,register,0.007556454998848494
73,login,0.008485595000820467
73,refresh,0.007781216001603752
73,logout,0.007843735998903867
74,register,0.006859222001367016
74,login,0.007879651999246562
74,refresh,0.008296798001538264
74,logout,0.007873116999689955
75,register,0.006685194999590749
75,login,0.006903564000822371
75,refresh,0.007634972000232665
75,logout,0.0077018650008540135
76,register,0.006746431998180924
76,login,0.007686279001063667
76,refresh,0.008046512000873918
76,logout,0.007597038998937933
77,register,0.00836800300021423
77,login,0.008165060000465019
77,refresh,0.006782379998185206
77,logout,0.006481909000285668
78,register,0.006003987000440247
78,login,0.006089561000408139
78,refresh,0.006775803998607444
78,logout,0.006473263001680607
79,register,0.0050239299998793285
79,login,0.005883017998712603
79,refresh,0.00679953500002739
79,logout,0.006603199002711335
80,register,0.005483562003064435
80,login,0.0057249099991167895
80,refresh,0.006766558999515837
80,logout,0.006561098001839127
81,register,0.006203229000675492
81,login,0.005568444001255557
81,refresh,0.006818440000643022
81,logout,0.006682750998152187
82,register,0.004712983001809334
82,login,0.006089745998906437
82,refresh,0.006976807999308221
82,logout,0.006654876000538934
83,register,0.005601735996606294
83,login,0.005786402001831448
83,refresh,0.006526922999910312
83,logout,0.0067367160008871
84,register,0.005094385000120383
84,login,0.0059248239995213225
84,refresh,0.007007042000623187
84,logout,0.007252303999848664
85,register,0.005534250001801411
85,login,0.006414856001356384
85,refresh,0.006862330999865662
85,logout,0.006922222997673089
86,register,0.006330806998448679
