iteracao,endpoint,tempo_resposta
1,register,0.2361250999965705
1,login,0.40841550001641735
1,refresh,0.12455479998607188
1,logout,0.14592629999970086
2,register,0.17677939997520298
2,login,0.14338110000244342
2,refresh,0.09133440000005066
2,logout,0.10992349998559803
3,register,0.17430389998480678
3,login,0.15649480000138283
3,refresh,0.09927259999676608
3,logout,0.10078680000151508
4,register,0.15840690000914037
4,login,0.15623320001759566
4,refresh,0.06857609999133274
4,logout,0.08216499999980442
5,register,0.13209420000202954
5,login,0.13292469998123124
5,refresh,0.060220399987883866
5,logout,0.08281480000005104
6,register,0.14001240002107807
6,login,0.12577409998630174
6,refresh,0.07370070001343265
6,logout,0.07577860000310466
7,register,0.14903859997866675
7,login,0.14983979999669828
7,refresh,0.08300800001597963
7,logout,0.08907240000553429
8,register,0.13886999999522232
8,login,0.14411589998053387
8,refresh,0.09898760000942275
8,logout,0.09214570000767708
9,register,0.13484220000100322
9,login,0.139518699987093
9,refresh,0.05839459999697283
9,logout,0.06807629999821074
10,register,0.16619829999399371
10,login,0.1833205999864731
10,refresh,0.07347100001061335
10,logout,0.07898869999917224
11,register,0.13630769998417236
11,login,0.12577310000779107
11,refresh,0.05650949999107979
11,logout,0.06693600001744926
12,register,0.20772109998506494
12,login,0.12456609998480417
12,refresh,0.05877500001224689
12,logout,0.06853010001941584
13,register,0.13169020001078025
13,login,0.1309899000043515
13,refresh,0.05271600000560284
13,logout,0.05909400002565235
14,register,0.13669370001298375
14,login,0.11783909998484887
14,refresh,0.05832189999637194
14,logout,0.07689060000120662
15,register,0.1402498000243213
15,login,0.14177349998499267
15,refresh,0.07590110000455752
15,logout,0.10419349998119287
16,register,0.14428579999366775
16,login,0.14057089999550954
16,refresh,0.05409469999722205
16,logout,0.06383890000870451
17,register,0.13348689998383634
17,login,0.12637579999864101
17,refresh,0.05413810000754893
17,logout,0.06194869999308139
18,register,0.12787290001870133
18,login,0.1170173000136856
18,refresh,0.05009180001798086
18,logout,0.05896319999010302
19,register,0.17339690000517294
19,login,0.21804559999145567
19,refresh,0.07512739999219775
19,logout,0.06217829999513924
20,register,0.13270119999651797
20,login,0.12844070000573993
20,refresh,0.10681499997735955
20,logout,0.07440939999651164
21,register,0.13298690001829527
21,login,0.11701059999177232
21,refresh,0.0626056999899447
21,logout,0.062047399987932295
22,register,0.1663235000160057
22,login,0.15589230001205578
22,refresh,0.05893119997926988
22,logout,0.06443739999667741
23,register,0.1432996999938041
23,login,0.15006290000746958
23,refresh,0.08474270001170225
23,logout,0.09330010000849143
24,register,0.1661644999985583
24,login,0.17967620000126772
24,refresh,0.06955949999974109
24,logout,0.06663340001250617
25,register,0.16727830001036637
25,login,0.18497790000401437
25,refresh,0.08715800000936724
25,logout,0.09604579998995177
26,register,0.28390750000835396
26,login,0.35467550001339987
26,refresh,0.211073899990879
26,logout,0.16355120000662282
27,register,0.2724615999904927
27,login,0.2640067999891471
27,refresh,0.11137510000844486
27,logout,0.17147500001010485
28,register,0.2539378000074066
28,login,0.337400999997044
28,refresh,0.06741970000439323
28,logout,0.08546139998361468
29,register,0.13435119998757727
29,login,0.17557209997903556
29,refresh,0.08085649998974986
29,logout,0.13349459998426028
30,register,0.16336810000939295
30,login,0.2803754000051413
30,refresh,0.11100070000975393
30,logout,0.13070380000863224
31,register,0.20766779998666607
31,login,0.24626469999202527
31,refresh,0.20158790002460591
31,logout,0.2058833000191953
32,register,0.2933271999936551
32,login,0.4191399000119418
32,refresh,0.219511400006013
32,logout,0.22019779999391176
33,register,0.22971739998320118
33,login,0.18362250001518987
33,refresh,0.11426290002418682
33,logout,0.11136609999812208
34,register,0.13612199999624863
34,login,0.12485920000472106
34,refresh,0.092574499984039
34,logout,0.07597989999339916
35,register,0.1949540999776218
35,login,0.1821170000184793
35,refresh,0.06956210001953878
35,logout,0.06493919997592457
36,register,0.13156890001846477
36,login,0.1352333999820985
36,refresh,0.09206169997924007
36,logout,0.07162990001961589
37,register,0.16727000000537373
37,login,0.139594100008253
37,refresh,0.05991010001162067
37,logout,0.0849158999917563
38,register,0.13299849999020807
38,login,0.13931059997412376
38,refresh,0.05669929998111911
38,logout,0.06412979998276569
39,register,0.22024869997403584
39,login,0.15707419998943806
39,refresh,0.0749534000060521
39,logout,0.08933600000455044
40,register,0.17041799999424256
40,login,0.18199969999841414
40,refresh,0.0637853000080213
40,logout,0.10510909999720752
41,register,0.22737469998537563
41,login,0.17715239999233745
41,refresh,0.12102309998590499
41,logout,0.1279985000146553
42,register,0.21040439998614602
42,login,0.20318650000263005
42,refresh,0.08133139999699779
42,logout,0.14520970001467504
43,register,0.17963260001852177
43,login,0.2046688999980688
43,refresh,0.1650153000082355
43,logout,0.10927049999008887
44,register,0.17229349998524413
44,login,0.1445233999984339
44,refresh,0.06582299998262897
44,logout,0.1517908000096213
45,register,0.22904199999175034
45,login,0.2427220999961719
45,refresh,0.08371920001809485
45,logout,0.07698429998708889
46,register,0.1382441000023391
46,login,0.14864549998310395
46,refresh,0.0647496999881696
46,logout,0.05222620000131428
47,register,0.1296087000227999
47,login,0.12581849997513928
47,refresh,0.049391499982448295
47,logout,0.06281050000688992
48,register,0.18275290000019595
48,login,0.1964248000003863
48,refresh,0.0920959000068251
48,logout,0.09291599999414757
49,register,0.2064667999802623
49,login,0.16458859998965636
49,refresh,0.06891609999001957
49,logout,0.07473430002573878
50,register,0.1761211999983061
50,login,0.19677330000558868
50,refresh,0.06952809999347664
50,logout,0.1203838000074029
51,register,0.26251040000352077
51,login,0.32517869997536764
51,refresh,0.12528639999800362
51,logout,0.10495219999575056
52,register,0.17804830000386573
52,login,0.17591620000894181
52,refresh,0.12043730000732467
52,logout,0.11255769999115728
53,register,0.38138449998223223
53,login,0.30350369997904636
53,refresh,0.21076119999634102
53,logout,0.16232900001341477
54,register,0.28969070001039654
54,login,0.22009370001615025
54,refresh,0.0819136000063736
